id,对应ID,造型1id,造型2id,造型3id,造型名1,造型名2,造型名3,模型1id,模型2id,模型3id,模型名1,模型名2,模型名3,称号1id,称号2id,称号3id,价格1id,价格2id,价格3id
900506,900506,901101,0,0,咕噜咕噜,0,0,1400003,0,0,set:roleandmonster151 image:9151,0,0,171,0,0,55000,0,0
901101,901101,900506,0,0,咕噜咕噜,0,0,1300009,0,0,set:roleandmonster151 image:9151,0,0,172,0,0,100,0,0
900505,900505,901102,0,0,吉里吉里,0,0,1400004,0,0,set:roleandmonster152 image:9152,0,0,173,0,0,55000,0,0
901102,901102,900505,0,0,吉里吉里,0,0,1300008,0,0,set:roleandmonster152 image:9152,0,0,174,0,0,100,0,0
900501,900501,901103,0,0,火灵兽,0,0,1400005,0,0,set:roleandmonster149 image:9149,0,0,175,0,0,55000,0,0
901103,901103,900501,0,0,火灵兽,0,0,1300001,0,0,set:roleandmonster149 image:9149,0,0,176,0,0,100,0,0
900503,900503,901104,0,0,水灵兽,0,0,1400006,0,0,set:roleandmonster148 image:9148,0,0,177,0,0,55000,0,0
901104,901104,900503,0,0,水灵兽,0,0,1300003,0,0,set:roleandmonster148 image:9148,0,0,178,0,0,100,0,0
520853,520853,902101,0,0,芙蓉仙子,0,0,1400001,0,0,set:roleandmonster156 image:9156,0,0,179,0,0,55000,0,0
902101,902101,520853,0,0,芙蓉仙子,0,0,1100806,0,0,set:roleandmonster79 image:9079,0,0,180,0,0,100,0,0
520753,520753,902102,0,0,鬼将,0,0,1400002,0,0,set:roleandmonster161 image:9161,0,0,181,0,0,55000,0,0
902102,902102,520753,0,0,鬼将,0,0,1100703,0,0,set:roleandmonster72 image:9072,0,0,182,0,0,100,0,0
520901,520901,902103,0,0,蛟龙,0,0,1400007,0,0,set:roleandmonster163 image:9163,0,0,183,0,0,55000,0,0
902103,902103,520901,0,0,蛟龙,0,0,1100901,0,0,set:roleandmonster82 image:9082,0,0,184,0,0,100,0,0
521106,521106,902104,0,0,龙龟,0,0,1400008,0,0,set:roleandmonster162 image:9162,0,0,185,0,0,55000,0,0
902104,902104,521106,0,0,龙龟,0,0,1101010,0,0,set:roleandmonster162 image:9162,0,0,186,0,0,100,0,0
520601,520601,902105,0,0,千年僵尸,0,0,1400009,0,0,set:roleandmonster158 image:9158,0,0,187,0,0,55000,0,0
902105,902105,520601,0,0,千年僵尸,0,0,1100601,0,0,set:roleandmonster65 image:9065,0,0,188,0,0,100,0,0
520954,520954,902106,0,0,武罗仙子,0,0,1400010,0,0,set:roleandmonster164 image:9164,0,0,189,0,0,55000,0,0
902106,902106,520954,0,0,武罗仙子,0,0,1100906,0,0,set:roleandmonster87 image:9087,0,0,190,0,0,100,0,0
