"id","图片","图宽","图高","最小等级","最大等级","适配任务","适配地图ID","权重","备注"
"1","loading1.jpg","1920","1080","0","0","0","0","0","出错时默认资源"
"2","loading1.jpg","1920","1080","1","200","0","0","100",""
"3","loading1.jpg","1920","1080","1","200","0","0","100",""
"4","loading1.jpg","1920","1080","1","200","0","0","100",""
"5","loading1.jpg","1920","1080","1","200","0","0","100",""
"6","loading1.jpg","1920","1080","1","200","0","0","100",""
"7","loading1.jpg","1920","1080","1","200","0","0","100",""
"8","loading1.jpg","1920","1080","1","200","0","0","100",""
"9","loading1.jpg","1920","1080","1","200","180101","0","100","回门派"
"10","loading1.jpg","1920","1080","1","200","180201","0","100","回门派"
"11","loading1.jpg","1920","1080","1","200","180301","0","100","回门派"
"12","loading1.jpg","1920","1080","1","200","180401","0","100","回门派"
"13","loading1.jpg","1920","1080","1","200","180501","0","100","回门派"
"14","loading1.jpg","1920","1080","1","200","180601","0","100","回门派"
"15","loading1.jpg","1920","1080","1","200","180701","0","100","回门派"
"16","loading1.jpg","1920","1080","1","200","180801","0","100","回门派"
"17","loading1.jpg","1920","1080","1","200","180901","0","100","回门派"
"18","loading1.jpg","1920","1080","1","200","189928","0","100","进奥格瑞玛"
"19","loading1.jpg","1920","1080","1","200","189929","0","100","进奥格瑞玛"
"20","loading1.jpg","1920","1080","1","200","189930","0","100","进奥格瑞玛"
"21","loading1.jpg","1920","1080","1","200","189931","0","100","进奥格瑞玛"
"22","loading1.jpg","1920","1080","1","200","189932","0","100","进奥格瑞玛"
"23","loading1.jpg","1920","1080","1","200","189933","0","100","进奥格瑞玛"
"24","loading1.jpg","1920","1080","1","200","189934","0","100","进奥格瑞玛"
"25","loading1.jpg","1920","1080","1","200","189935","0","100","进奥格瑞玛"
"26","loading1.jpg","1920","1080","1","200","189936","0","100","进奥格瑞玛"
"27","loading1.jpg","1920","1080","1","200","189901","0","100","进银松林"
"28","loading1.jpg","1920","1080","1","200","180143","0","100","进暮光林"
"29","loading1.jpg","1920","1080","1","200","180144","0","100","回银松林"
"30","loading1.jpg","1920","1080","1","200","180148","0","100","进银堡"
"31","loading1.jpg","1920","1080","1","200","180154","0","100","银堡地下室"
"32","loading1.jpg","1920","1080","1","200","180158","0","100","进灵界"
"33","loading1.jpg","1920","1080","1","200","180160","0","100","十字路口"
"34","loading1.jpg","1920","1080","1","200","180106","0","100","回门派"
"35","loading1.jpg","1920","1080","1","200","180206","0","100","回门派"
"36","loading1.jpg","1920","1080","1","200","180306","0","100","回门派"
"37","loading1.jpg","1920","1080","1","200","180406","0","100","回门派"
"38","loading1.jpg","1920","1080","1","200","180506","0","100","回门派"
"39","loading1.jpg","1920","1080","1","200","180606","0","100","回门派"
"40","loading1.jpg","1920","1080","1","200","180706","0","100","回门派"
"41","loading1.jpg","1920","1080","1","200","180806","0","100","回门派"
"42","loading1.jpg","1920","1080","1","200","180906","0","100","回门派"
"43","loading1.jpg","1920","1080","1","200","180162","0","100","紫罗兰"
"44","loading1.jpg","1920","1080","1","200","189911","0","100","紫罗兰"
"45","loading1.jpg","1920","1080","1","200","189912","0","100","紫罗兰"
"46","loading1.jpg","1920","1080","1","200","189913","0","100","紫罗兰"
"47","loading1.jpg","1920","1080","1","200","189914","0","100","紫罗兰"
"48","loading1.jpg","1920","1080","1","200","189915","0","100","紫罗兰"
"49","loading1.jpg","1920","1080","1","200","189916","0","100","紫罗兰"
"50","loading1.jpg","1920","1080","1","200","189917","0","100","紫罗兰"
"51","loading1.jpg","1920","1080","1","200","189918","0","100","紫罗兰"
"52","loading1.jpg","1920","1080","1","200","180165","0","100","激流高地"
"53","loading1.jpg","1920","1080","1","200","180166","0","100","回紫罗兰"
"54","loading1.jpg","1920","1080","1","200","180168","0","100","去月光海岸"
"55","loading1.jpg","1920","1080","1","200","180171","0","100","剃刀泥沼"
"56","loading1.jpg","1920","1080","1","200","180174","0","100","紫罗兰"
"57","loading1.jpg","1920","1080","1","200","180176","0","100","雷霆村"
"58","loading1.jpg","1920","1080","1","200","180180","0","100","剃刀泥沼"
"59","loading1.jpg","1920","1080","1","200","180188","0","100","雷霆村"
"60","loading1.jpg","1920","1080","1","200","180189","0","100","月光海岸"
"61","loading1.jpg","1920","1080","1","200","180190","0","100","紫罗兰"
"62","loading1.jpg","1920","1080","1","200","180192","0","100","奥格瑞玛"
"63","loading1.jpg","1920","1080","1","200","180193","0","100","紫罗兰"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
