"id","titleID"
"720001","134"
"720002","135"
"720003","136"
"720004","137"
"720005","138"
"720006","139"
"720007","140"
"720008","141"
"720101","300"
"720102","301"
"720103","302"
"720104","303"
"720105","304"
"720106","305"
"720107","306"
"720108","307"
"720201","308"
"720202","309"
"720203","310"
"720204","311"
"720205","312"
"720206","313"
"720207","314"
"720208","315"
"720209","316"
"720210","317"
"720211","318"
"720300","219"
"600622","705"
"600623","706"
"600624","707"
"600625","708"
"600626","709"
"600627","710"
"600634","711"
"720301","712"
"720302","713"
"720303","714"
"720304","715"
"720305","716"
"720306","717"
"720307","718"
"720308","719"
"720309","720"
"720310","721"
"720311","722"
"720312","723"
"720313","724"
"720314","725"
"720315","726"
"720316","727"
"720317","728"
"720318","729"
"720319","730"
"720320","731"
